Platform,Type,Name,Breed,Sex,Species,Spray/Neuter,Arrival Date,Departure Date,Duration,Price,Payment Received,Family Members,Notes,daily price,tips,months_active,dog_rating
xhs,Boarding,Pi,Maltese,Male,Dog,yes,2025-11-27,2025-12-01,4.0,110.0,22.0,,,27.5,0.0,11/2025,10.0
xhs,Boarding,Jemma,Maltese,Female,Dog,yes,2025-11-27,2025-12-01,4.0,110.0,22.0,,,27.5,0.0,11/2025,10.0
xhs,Boarding,Rusty,Golden Doodle,Male,Dog,yes,2025-11-21,2025-11-29,8.0,360.0,0.0,,,45.0,0.0,11/2025,10.0
xhs,Boarding,Mason,Shiba Inu,Male,Dog,yes,2025-11-05,2025-11-10,5.0,250.0,0.0,,,50.0,0.0,11/2025,9.0
xhs,Boarding,Turbo,Corgi,Male,Dog,yes,2025-11-05,2025-11-10,5.0,250.0,0.0,,,50.0,0.0,11/2025,9.0
xhs,Boarding,Summer,Cavapoo,Female,Dog,yes,2025-11-05,2025-11-30,25.0,750.0,0.0,,,30.0,0.0,11/2025,10.0
Rover,Boarding,Chewy,Domestic Long,Male,Cat,yes,2025-10-24,2025-11-04,11.0,286.0,0.0,,,26.0,0.0,"10/2025, 11/2025",0.0
Rover,Boarding,Dio,Domestic Short,Male,Cat,yes,2025-10-24,2025-11-04,11.0,495.0,0.0,,,45.0,0.0,"10/2025, 11/2025",6.0
xhs,Boarding,皮卡丘,poodle mix,Male,Dog,yes,2025-10-21,2025-11-16,26.0,780.0,0.0,,,30.0,0.0,"10/2025, 11/2025",7.0
xhs,Boarding,屁屁,Corgi,Male,Dog,no,2025-10-21,2025-11-16,26.0,780.0,0.0,,,30.0,0.0,"10/2025, 11/2025",8.0
Rover,Boarding,Buster,Meltese,Male,Dog,yes,2025-10-14,2025-10-17,3.0,180.0,224.8,,,60.0,44.8,10/2025,10.0
Rover,Drop In,Motley,Pit Bull,Male,Dog,yes,2025-10-10,2025-10-12,4.0,200.0,200.0,,,50.0,0.0,10/2025,10.0
Rover,Drop In,Molly,Miniature Schnauzer,Female,Dog,yes,2025-10-10,2025-10-12,4.0,124.0,124.0,Nyxey/Penny,,31.0,0.0,10/2025,10.0
xhs,Boarding,椰椰,Bichon Frise,Female,Dog,yes,2025-10-10,2025-10-13,4.0,120.0,120.0,,,30.0,0.0,10/2025,7.0
Rover,Drop In,Nyxey,Domestic Short,Female,Cat,yes,2025-10-10,2025-10-12,4.0,76.0,76.0,Molly/Penny,,19.0,0.0,10/2025,10.0
Rover,Drop In,Penny,Cavalier King,Female,Dog,yes,2025-10-10,2025-10-12,4.0,124.0,124.0,Nyxey/Molly,,31.0,0.0,10/2025,10.0
