category,date,amount,description
Subscription,2025-09-15,20.0,gpt
Dining,2025-09-15,92.0,山城辣妹子
Other,2025-09-15,500.0,房租
Auto,2025-09-15,50.0,修车
Dining,2025-09-15,15.0,茶宴
Dining,2025-09-15,17.0,torotea
Dining,2025-09-15,124.0,yama
Dining,2025-09-15,40.0,mala master
Dining,2025-09-15,6.25,chatramue
Dining,2025-09-15,23.44,Mendocino Farms
Dining,2025-09-15,46.0,买鸡
Dining,2025-09-15,7.72,Tea Station
Dining,2025-09-15,14.3,Chatramue
Dining,2025-09-15,33.0,7 grams
Dining,2025-09-15,15.5,Cha Redefine
Dining,2025-09-15,27.22,
Subscription,2025-09-15,36.62,iPhone 17 pro
Subscription,2025-09-15,8.0,amazon prime
Subscription,2025-09-15,25.0,fitness19
Education,2025-09-01,15167.1,1-08 Unsubsidize Loan
Shopping,2025-08-28,100.0,
Subscription,2025-08-28,25.0,
Auto,2025-08-28,26.0,
Other,2025-08-28,34.0,Interest Charge
Groceries,2025-08-28,52.0,
Dining,2025-08-28,85.0,
Shopping,2025-08-28,246.0,耳机
Subscription,2025-08-28,8.0,amazon prime
Shopping,2025-08-28,411.0,
Other,2025-08-28,980.0,美容
Education,2025-08-26,2000.0,AI in health care + NLP
Other,2025-08-25,200.0,
Pet,2025-08-25,80.0,cat litter
Travel,2025-07-01,31.0,
Other,2025-07-01,84.0,Chase Interest Charge
Subscription,2025-07-01,25.0,
Shopping,2025-07-01,426.0,
Shopping,2025-07-01,165.0,
Shopping,2025-07-01,354.0,
Education,2025-07-01,500.0,
Subscription,2025-07-01,45.0,
Pet,2025-07-01,255.0,
Dining,2025-07-01,273.0,
Auto,2025-07-01,33.0,
Groceries,2025-07-01,86.0,
Shopping,2025-06-01,549.0,
Subscription,2025-06-01,25.0,
Education,2025-06-01,1000.0,reinforcement learning
Shopping,2025-06-01,572.0,
Subscription,2025-06-01,45.0,
Other,2025-06-01,63.0,Chase Interest Charge
Pet,2025-06-01,241.0,
Shopping,2025-06-01,199.0,
Education,2025-06-01,500.0,
Groceries,2025-06-01,54.0,
Auto,2025-06-01,28.0,
Dining,2025-06-01,239.0,
Shopping,2025-05-01,102.0,
Dining,2025-05-01,489.0,
Other,2025-05-01,80.0,Chase Interest Charge
Shopping,2025-05-01,66.0,
Groceries,2025-05-01,170.0,
Subscription,2025-05-01,25.0,
Subscription,2025-05-01,45.0,
Education,2025-05-01,500.0,
Shopping,2025-05-01,700.0,
Pet,2025-05-01,431.0,
Subscription,2025-04-01,25.0,
Subscription,2025-04-01,16.0,
Auto,2025-04-01,159.0,
Shopping,2025-04-01,22.0,
Shopping,2025-04-01,1348.0,
Education,2025-04-01,500.0,
Subscription,2025-04-01,45.0,
