Platform,Type,Name,Breed,Sex,Species,Spray/Neuter,Arrival Date,Departure Date,Duration,Price,Payment Received,Family Members,Notes
xhs,Boarding,Appa,Maltese Mixed,Male,Dog,no,16/06/2024,21/06/2024,6,210,210.00,,一天25
xhs,Boarding,麻薯,Pomeranian,Female,Dog,yes,22/06/2024,01/07/2024,10,172.6,172.60,福来/小七,
xhs,Boarding,福来,Domestic Short,Female,Cat,yes,22/06/2024,01/07/2024,10,172.6,172.60,麻薯/小七,
xhs,Boarding,小七,Domestic Short,Male,Cat,yes,22/06/2024,01/07/2024,10,172.6,172.60,福来/麻薯,
xhs,Boarding,栗子,Golden Retriever,Female,Dog,yes,06/07/2024,08/07/2024,3,105,105.00,,一天35
xhs,Boarding,果果,Corgi,Male,Dog,no,28/06/2024,10/08/2024,45,1000,"1,040.00",,一个月650，单天35
xhs,Drop In,Moomoo,Domestic Short,Male,Cat,yes,17/08/2024,22/08/2024,3,60,60.00,,
xhs,Boarding,Shyshy,Shiba Inu,Female,Dog,yes,09/06/2024,25/08/2024,77,1800,"1,520.00",,一个月600，多的一天23
xhs,Boarding,Kia,Pomsky,Female,Dog,yes,27/06/2024,26/08/2024,60,1200,"1,200.00",,一个月600
xhs,Boarding,Noel,Domestic Long,Male,Cat,yes,03/07/2024,26/08/2024,54,910,910.00,,一个月550，多的一天15
xhs,Boarding,奶茶,Abyssinian,Female,Cat,yes,13/07/2024,25/09/2024,73,1250,"1,250.00",,一个月500，单天22
xhs,Boarding,Melo,Shiba Inu,Male,Dog,yes,18/09/2024,30/09/2024,13,455,455.00,,一天35
xhs,Boarding,Cocoa,Cavapoo,Female,Dog,no,05/10/2024,09/10/2024,5,175,175.00,,一天35
xhs,Boarding,Archie,Berne Doodle,Male,Dog,yes,12/11/2024,12/11/2024,1,20,20.00,Luna/Brownie,一天60，三只首次优惠
xhs,Boarding,Luna,Australian Shepherd,Female,Dog,yes,12/11/2024,12/11/2024,1,20,20.00,Brownie/Archie,一天60，三只首次优惠
xhs,Boarding,Brownie,Dachshund Long,Male,Dog,no,12/11/2024,12/11/2024,1,20,20.00,Archie/Luna,一天60，三只首次优惠
xhs,Boarding,Shyshy,Shiba Inu,Female,Dog,yes,21/11/2024,26/11/2024,5,140,140.00,,一天28
xhs,Boarding,Dutch,Dachshund Long,Male,Dog,no,18/11/2024,01/12/2024,14,380,380.00,,一天30，第一次打点儿折
xhs,Boarding,Momo,Maltese,Female,Dog,yes,26/11/2024,01/12/2024,5,150,150.00,,一天30
xhs,Boarding,Melo,Shiba Inu,Male,Dog,yes,28/11/2024,01/12/2024,3,105,105.00,,一天35
xhs,Boarding,歇歇,Bichon Frise,Female,Dog,yes,30/11/2024,02/12/2024,2,60,80.00,,"一天30, 20车费"
xhs,Boarding,豆豆,British Short,Male,Cat,yes,09/11/2024,04/12/2024,23,300,300.00,牛牛,一天26
xhs,Boarding,牛牛,Siamese,Male,Cat,yes,09/11/2024,04/12/2024,23,300,300.00,豆豆,一天26
xhs,Boarding,派派,Akita Inu,Male,Dog,yes,18/11/2024,07/12/2024,20,700,750.00,,一天35，多给50
xhs,Boarding,Gigi,British Short,Female,Cat,yes,25/11/2024,13/12/2024,18,305,305.00,Tobi,一周170，两只打折，+11天（30一天）
xhs,Boarding,Tobi,British Short,Male,Cat,no,25/11/2024,13/12/2024,18,305,305.00,Gigi,一周170，两只打折，+11天（30一天）
xhs,Boarding,条条,Berne Doodle,Male,Dog,yes,04/12/2024,14/12/2024,9.5,617.5,618.00,,一天65，一对一
xhs,Boarding,波妞,Cavapoo,Female,Dog,no,16/12/2024,19/12/2024,4,120,120.00,,一天30
xhs,Boarding,Summer,Cavapoo,Female,Dog,no,04/12/2024,28/12/2024,24,700,700.00,,一个月700
xhs,Boarding,Archie,Berne Doodle,Male,Dog,yes,21/12/2024,28/12/2024,7,175,175.00,Luna/Brownie,
xhs,Boarding,Luna,Australian Shepherd,Female,Dog,yes,21/12/2024,28/12/2024,7,175,175.00,Brownie/Archie,
xhs,Boarding,Brownie,Dachshund Long,Male,Dog,no,21/12/2024,28/12/2024,7,175,175.00,Archie/Luna,一天一共3只75
xhs,Boarding,Opao,Yorkie,Male,Dog,no,25/12/2024,28/12/2024,3,75,75.00,,
xhs,Boarding,Cookie,Yorkie,Male,Dog,no,25/12/2024,28/12/2024,3,75,75.00,,
xhs,Boarding,Baggie,Cavapoo,Male,Dog,no,20/12/2024,29/12/2024,10,300,300.00,,一天30
xhs,Boarding,Madi,Cavapoo,Female,Dog,no,27/12/2024,31/12/2024,4,120,130.00,,一天30
xhs,Boarding,布丁1,Bichon Frise,Female,Dog,yes,24/12/2024,01/01/2025,8,240,240.00,Mocha,一天60
xhs,Boarding,Mocha,Maltese Mixed,Male,Dog,no,24/12/2024,01/01/2025,8,240,240.00,布丁,一天60
xhs,Boarding,皮皮,Domestic Short,Male,Cat,yes,28/12/2024,01/01/2025,5,125,125.00,,一天25
xhs,Boarding,Cotton,Corgi,Female,Dog,yes,29/12/2024,02/01/2025,4,160,180.00,,一天40+小费
